Index,Height(Inches),Weight(Pounds),Height(cm),Weight(kilos)
14766,70,126,177,57
14767,69,135,175,61
14768,68,121,173,55
14769,68,124,174,56
14770,65,120,166,54
14771,69,147,176,67
14772,67,150,170,68
14773,66,114,168,52
14774,69,118,174,54
14775,70,129,177,59
14776,67,116,171,53
14777,67,118,169,54
14778,71,150,180,68
14779,69,124,176,56
14780,67,121,170,55
14781,68,122,173,55
14782,67,130,171,59
14783,68,114,173,52
14784,68,121,172,55
14785,66,117,168,53
14786,70,142,179,64
14787,68,119,172,54
14788,66,115,169,52
14789,68,114,173,52
14790,69,135,175,61
14791,71,125,179,57
14792,68,129,173,59
14793,65,122,165,55
14794,67,137,170,62
14795,70,130,178,59
14796,68,131,172,59
14797,71,145,181,66
14798,68,145,173,66
14799,73,159,185,72
14800,73,155,186,70
14801,69,135,176,61
14802,67,124,169,56
14803,69,138,174,62
14804,70,126,178,57
14805,68,141,174,64
14806,72,123,184,56
14807,71,136,179,62
14808,71,141,181,64
14809,70,134,179,61
14810,65,115,165,52
14811,69,111,175,50
14812,69,138,177,63
14813,66,114,168,52
14814,70,127,179,58
14815,67,126,170,57
14816,71,133,179,60
14817,67,105,169,48
14818,66,132,167,60
14819,66,125,169,57
14820,67,98,170,44
14821,66,110,169,50
14822,69,132,175,60
14823,65,114,164,52
14824,69,114,175,51
14825,69,142,176,64
14826,70,133,178,60
14827,67,122,170,55
14828,68,130,173,59
14829,70,125,177,57
14830,65,122,165,55
14831,67,125,171,57
14832,67,109,171,49
14833,68,119,174,54
14834,68,156,174,71
14835,69,124,176,56
14836,67,120,170,55
14837,66,110,167,50
14838,71,160,180,73
14839,68,142,172,64
14840,71,137,180,62
14841,67,138,171,63
14842,70,144,177,65
14843,64,111,163,50
14844,68,144,174,65
14845,69,120,176,54
14846,66,104,169,47
14847,70,127,177,57
14848,71,148,181,67
14849,67,119,171,54
14850,69,141,174,64
14851,64,100,162,45
14852,68,114,173,52
14853,69,130,175,59
14854,68,132,174,60
14855,66,111,167,50
14856,66,120,166,54
14857,67,125,170,57
14858,68,117,171,53
14859,71,148,181,67
14860,67,129,169,58
14861,65,105,165,48
14862,67,128,171,58
14863,69,134,175,61
14864,67,126,170,57
14865,70,155,178,70
14866,68,109,173,50
14867,66,121,168,55
14868,69,139,176,63
14869,68,116,173,53
14870,67,138,171,63
14871,69,128,176,58
14872,67,121,169,55
14873,69,145,174,66
14874,70,136,177,62
14875,68,139,173,63
14876,69,130,176,59
14877,70,148,178,67
14878,70,138,178,63
14879,69,118,177,53
14880,70,120,179,54
14881,66,115,167,52
14882,69,127,176,58
14883,67,134,171,61
14884,70,136,177,62
14885,66,130,166,59
14886,72,134,183,61
14887,68,141,172,64
14888,70,130,178,59
14889,67,124,169,56
14890,67,136,171,62
14891,64,126,162,57
14892,69,135,175,61
14893,71,134,180,61
14894,69,141,176,64
14895,69,138,175,62
14896,69,131,175,59
14897,65,116,166,53
14898,67,117,171,53
14899,64,124,164,56
14900,66,120,169,54
14901,66,132,169,60
14902,67,144,169,65
14903,65,95,166,43
14904,69,118,176,53
14905,64,123,163,56
14906,68,134,173,61
14907,69,134,175,61
14908,71,142,179,64
14909,66,133,168,60
14910,70,140,177,63
14911,69,149,176,68
14912,68,118,173,54
14913,67,128,171,58
14914,67,140,171,64
14915,69,127,174,58
14916,68,117,173,53
14917,71,142,181,65
14918,69,123,176,56
14919,66,111,167,50
14920,70,143,179,65
14921,65,132,165,60
14922,66,97,167,44
14923,67,128,169,58
14924,65,112,166,51
14925,67,122,169,55
14926,66,120,166,55
14927,68,127,174,58
14928,69,131,176,60
14929,73,145,186,66
14930,68,117,173,53
14931,70,123,178,56
14932,71,118,180,53
14933,66,134,169,61
14934,68,133,173,61
14935,70,126,178,57
14936,65,115,164,52
14937,68,133,174,60
14938,68,127,173,58
14939,66,137,168,62
14940,68,114,172,52
14941,67,131,170,59
14942,68,122,173,55
14943,70,126,178,57
14944,68,132,172,60
14945,69,123,176,56
14946,71,132,180,60
14947,67,133,171,60
14948,66,121,167,55
14949,68,121,172,55
14950,66,130,169,59
14951,67,127,171,57
14952,66,137,168,62
14953,66,114,168,52
14954,72,153,182,69
14955,66,125,168,57
14956,68,137,173,62
14957,69,127,176,58
14958,66,114,167,52
14959,67,122,170,55
14960,66,132,167,60
14961,69,138,175,63
14962,69,120,174,54
14963,63,134,161,61
14964,69,146,176,66
14965,68,129,173,59
14966,68,112,172,51
14967,66,134,168,61
14968,67,116,171,52
14969,67,118,170,54
14970,66,125,167,57
14971,67,119,170,54
14972,65,116,165,53
14973,67,123,170,56
14974,68,111,174,50
14975,69,139,174,63
14976,72,129,182,59
14977,68,138,174,62
14978,68,109,174,49
14979,66,122,169,55
14980,68,130,173,59
14981,72,138,183,63
14982,69,114,175,52
14983,67,114,169,52
14984,70,131,178,60
14985,68,142,174,64
14986,68,132,173,60
14987,72,137,182,62
14988,69,138,175,63
14989,70,133,179,60
14990,68,120,173,54
14991,67,123,171,56
14992,68,119,172,54
14993,70,138,179,63
14994,69,133,175,60
14995,69,121,176,55
14996,69,135,176,61
14997,68,132,174,60
14998,70,112,177,51
14999,67,155,170,70
15000,69,133,175,60
15001,66,111,166,50
15002,69,128,176,58
15003,65,132,165,60
15004,67,136,171,62
15005,68,136,174,62
15006,65,83,166,38
15007,69,135,176,61
15008,70,135,177,61
15009,65,115,166,52
15010,67,118,170,54
15011,66,134,169,61
15012,71,128,180,58
15013,69,121,176,55
15014,67,117,170,53
15015,66,116,167,53
15016,68,131,174,60
15017,66,125,168,57
15018,67,105,170,48
15019,68,126,172,57
15020,69,132,175,60
15021,68,134,173,61
15022,63,99,159,45
15023,70,119,179,54
15024,71,133,180,60
15025,69,137,175,62
15026,72,127,182,58
15027,65,110,166,50
15028,67,134,169,61
15029,68,134,173,61
15030,67,115,170,52
15031,68,124,174,56
15032,68,140,172,63
15033,70,126,177,57
15034,70,131,177,59
15035,67,127,170,58
15036,67,116,170,52
15037,69,115,175,52
15038,68,130,172,59
15039,67,132,170,60
15040,65,124,165,56
15041,67,103,171,47
15042,67,144,171,65
15043,67,128,171,58
15044,66,105,168,47
15045,67,125,171,57
15046,67,126,169,57
15047,66,104,167,47
15048,70,115,177,52
15049,69,139,174,63
15050,71,133,179,61
15051,69,123,174,56
15052,70,125,178,57
15053,69,141,176,64
15054,71,115,180,52
15055,69,150,176,68
15056,65,109,165,49
15057,67,101,169,46
15058,67,109,170,49
15059,68,132,172,60
15060,70,132,179,60
15061,63,123,160,56
15062,67,127,171,57
15063,67,115,171,52
15064,67,120,170,54
15065,67,120,169,55
15066,66,104,168,47
15067,70,140,177,63
15068,68,111,174,50
15069,70,113,178,51
15070,68,118,173,54
15071,67,119,171,54
15072,69,147,175,67
15073,64,113,164,51
15074,65,123,166,56
15075,67,129,170,59
15076,69,116,175,53
15077,68,137,172,62
15078,66,131,168,59
15079,67,126,170,57
15080,70,127,178,57
15081,69,132,176,60
15082,70,144,178,65
15083,66,125,168,57
15084,70,127,177,58
15085,69,142,176,65
15086,64,100,162,46
15087,69,113,175,51
15088,68,104,172,47
15089,69,133,175,60
15090,72,143,182,65
15091,71,142,180,65
15092,67,116,170,53
15093,71,143,180,65
15094,64,103,163,47
15095,68,132,174,60
15096,65,117,165,53
15097,70,132,179,60
15098,70,164,178,74
15099,68,137,173,62
15100,69,130,175,59
15101,67,120,170,55
15102,70,124,177,56
15103,63,126,161,57
15104,70,136,178,62
15105,67,127,170,58
15106,71,141,180,64
15107,67,133,169,61
15108,66,124,168,56
15109,67,131,170,60
15110,69,126,176,57
15111,64,92,164,42
15112,68,114,172,52
15113,65,122,166,55
15114,67,122,171,56
15115,67,108,169,49
15116,67,127,171,58
15117,69,149,175,67
15118,66,137,167,62
15119,67,138,171,62
15120,66,123,167,56
15121,70,131,177,60
15122,66,121,169,55
15123,67,131,170,59
15124,68,119,173,54
15125,71,134,179,61
15126,67,134,171,61
15127,65,125,165,57
15128,70,127,177,58
15129,68,117,172,53
15130,67,138,170,62
15131,69,126,175,57
15132,66,143,168,65
15133,67,115,170,52
15134,68,123,172,56
15135,68,147,172,67
15136,70,131,177,59
15137,68,110,172,50
15138,66,113,169,51
15139,67,116,171,53
15140,65,119,166,54
15141,65,109,165,49
15142,70,118,178,54
15143,67,120,170,54
15144,73,141,185,64
15145,71,143,179,65
15146,66,128,168,58
15147,67,118,170,54
15148,70,139,177,63
15149,72,134,183,61
15150,68,116,172,53
15151,66,130,168,59
15152,66,115,168,52
15153,69,124,175,56
15154,69,124,175,56
15155,68,146,171,66
15156,68,137,172,62
15157,68,121,173,55
15158,67,119,171,54
15159,68,123,172,56
15160,67,141,169,64
15161,65,101,166,46
15162,70,143,178,65
15163,70,130,178,59
15164,69,127,176,57
15165,69,139,176,63
15166,68,126,174,57
15167,69,140,176,63
15168,72,134,183,61
15169,69,114,175,52
15170,67,118,169,54
15171,66,135,167,61
15172,69,128,176,58
15173,71,137,179,62
15174,66,124,167,56
15175,68,130,173,59
15176,69,126,174,57
15177,66,124,169,56
15178,66,128,168,58
15179,67,110,171,50
15180,68,131,173,60
15181,68,132,173,60
15182,67,125,169,57
15183,66,133,169,61
15184,68,107,174,48
15185,67,140,170,64
15186,68,122,172,56
15187,71,142,180,64
15188,67,120,171,54
15189,67,140,169,64
15190,69,116,175,53
15191,68,138,172,63
15192,71,133,179,60
15193,66,118,168,53
15194,65,123,164,56
15195,69,125,176,57
15196,72,116,183,53
15197,68,136,173,62
15198,65,111,165,50
15199,69,141,175,64
15200,66,103,167,47
15201,68,119,173,54
15202,68,136,173,62
15203,67,120,170,54
15204,67,115,170,52
15205,67,119,171,54
15206,69,134,176,61
15207,67,124,170,56
15208,65,122,164,55
15209,68,120,173,54
15210,75,147,189,67
15211,69,117,176,53
15212,64,106,164,48
15213,68,137,172,62
15214,68,139,173,63
15215,66,124,167,56
15216,70,152,178,69
15217,67,120,170,54
15218,69,134,175,61
15219,68,120,173,54
15220,69,131,176,60
15221,70,135,177,61
15222,69,114,174,52
15223,69,135,175,61
15224,65,113,166,51
15225,70,150,177,68
15226,65,126,164,57
15227,67,106,170,48
15228,68,119,173,54
15229,71,150,181,68
15230,72,135,182,61
15231,70,144,178,65
15232,67,114,171,52
15233,64,123,162,56
15234,70,115,178,52
15235,70,130,179,59
15236,69,125,174,57
15237,65,116,164,53
15238,66,127,167,58
15239,68,130,174,59
15240,68,129,173,58
15241,66,129,169,59
15242,69,134,175,61
15243,63,116,159,52
15244,67,119,171,54
15245,67,127,171,58
15246,70,144,178,65
15247,66,124,168,56
15248,69,135,176,61
15249,67,126,171,57
15250,67,118,169,53
15251,67,118,171,54
15252,69,127,175,58
15253,69,113,175,51
15254,68,142,173,65
15255,65,114,164,52
15256,69,142,175,65
15257,67,121,169,55
15258,68,119,172,54
15259,70,138,177,62
15260,66,119,168,54
15261,70,134,177,61
15262,64,128,163,58
15263,67,117,170,53
15264,65,113,165,51
15265,67,120,169,54
15266,65,118,165,54
15267,71,139,180,63
15268,66,106,167,48
15269,71,132,180,60
15270,70,142,177,65
15271,70,119,179,54
15272,66,128,168,58
15273,69,120,176,54
15274,72,143,182,65
15275,67,121,171,55
15276,71,148,180,67
15277,69,135,175,61
15278,68,108,172,49
15279,67,115,170,52
15280,62,105,158,48
15281,70,135,178,61
15282,69,134,175,61
15283,69,110,176,50
15284,70,125,179,57
15285,71,129,180,59
15286,71,147,180,67
15287,68,130,173,59
15288,70,125,177,57
15289,67,99,170,45
15290,64,117,164,53
15291,68,114,173,52
15292,70,125,177,57
15293,68,132,172,60
15294,67,116,170,53
15295,71,137,181,62
15296,68,135,174,61
15297,68,142,173,64
15298,72,139,182,63
15299,69,125,174,57
15300,70,127,177,58
15301,69,122,175,55
15302,68,130,172,59
15303,63,121,159,55
15304,70,145,177,66
15305,69,124,176,56
15306,69,128,176,58
15307,66,143,168,65
15308,64,121,162,55
15309,68,143,173,65
15310,67,124,171,56
15311,68,123,172,56
15312,69,109,175,50
15313,65,130,164,59
15314,68,116,172,53
15315,69,144,174,65
15316,66,123,169,56
15317,66,112,168,51
15318,66,114,168,51
15319,68,123,173,56
15320,71,135,180,61
15321,70,140,179,63
15322,65,123,165,56
15323,68,131,174,59
15324,73,148,186,67
15325,70,134,179,61
15326,72,144,183,65
15327,73,139,185,63
15328,65,119,165,54
15329,69,123,175,56
15330,69,123,176,56
15331,67,124,169,56
15332,67,140,170,64
15333,67,118,171,54
15334,63,102,159,46
15335,69,130,174,59
15336,68,121,172,55
15337,72,122,182,56
15338,67,122,169,55
15339,68,127,173,58
15340,67,120,171,54
15341,68,146,172,66
15342,67,110,171,50
15343,66,117,169,53
15344,70,136,179,62
15345,66,115,168,52
15346,65,134,166,61
15347,68,125,173,57
15348,69,133,175,60
15349,69,131,176,59
15350,68,132,172,60
15351,67,129,171,59
15352,66,120,169,54
15353,70,136,178,62
15354,70,148,177,67
15355,67,123,170,56
15356,70,151,178,68
15357,67,109,170,49
15358,67,107,169,48
15359,69,126,175,57
15360,71,141,180,64
15361,71,142,180,65
15362,66,142,167,65
15363,69,121,174,55
15364,70,121,178,55
15365,66,121,167,55
15366,67,138,171,62
15367,65,112,166,51
15368,71,143,179,65
15369,64,115,163,52
15370,70,130,178,59
15371,69,141,174,64
15372,67,133,169,60
15373,67,109,169,49
15374,69,123,175,56
15375,66,122,168,56
15376,71,128,181,58
15377,71,126,179,57
15378,69,122,174,55
15379,63,105,160,48
15380,70,129,178,58
15381,70,135,178,61
15382,68,151,174,68
15383,67,118,170,54
15384,68,112,173,51
15385,68,117,174,53
15386,69,135,175,61
15387,69,135,176,61
15388,71,131,180,60
15389,67,139,171,63
15390,66,113,167,51
15391,68,136,172,62
15392,70,117,179,53
15393,68,115,173,52
15394,68,123,172,56
15395,68,129,174,58
15396,68,118,172,53
15397,66,116,167,53
15398,66,118,167,54
15399,67,113,171,51
15400,68,128,173,58
15401,68,115,172,52
15402,66,137,169,62
15403,68,142,173,64
15404,66,111,167,50
15405,70,129,177,59
15406,67,124,170,56
15407,68,134,172,61
15408,72,145,184,66
15409,69,133,175,60
15410,68,138,174,62
15411,69,130,176,59
15412,65,110,164,50
15413,63,112,160,51
15414,70,115,177,52
15415,69,114,175,52
15416,67,120,170,54
15417,68,130,173,59
15418,63,103,159,47
15419,68,116,172,52
15420,68,125,173,57
15421,67,140,170,64
15422,70,128,179,58
15423,64,116,164,53
15424,67,116,171,53
15425,69,137,175,62
15426,69,113,176,51
15427,68,122,173,55
15428,68,121,172,55
15429,69,136,175,62
15430,71,132,180,60
15431,69,128,175,58
15432,70,149,177,67
15433,65,123,166,56
15434,66,105,168,48
15435,67,124,171,56
15436,67,120,170,54
15437,71,125,181,57
15438,66,105,168,48
15439,65,128,166,58
15440,68,125,172,57
15441,69,123,175,56
15442,69,123,174,56
15443,69,132,174,60
15444,70,143,177,65
15445,70,131,178,60
15446,68,128,174,58
15447,68,138,172,63
15448,68,143,173,65
15449,69,136,176,62
15450,68,131,172,60
15451,70,133,178,60
15452,68,127,172,58
15453,68,126,172,57
15454,66,114,168,52
15455,68,119,173,54
15456,68,140,172,64
15457,72,135,182,61
15458,70,135,177,61
15459,68,124,172,56
15460,69,141,174,64
15461,73,137,185,62
15462,68,114,174,52
15463,69,134,175,61
15464,67,126,170,57
15465,67,115,169,52
15466,68,110,173,50
15467,69,136,174,62
15468,68,138,172,62
15469,70,129,177,58
15470,66,96,167,43
15471,69,148,175,67
15472,68,131,174,59
15473,68,129,172,58
15474,71,136,180,62
15475,71,163,181,74
15476,69,120,174,54
15477,67,132,171,60
15478,69,129,176,59
15479,68,122,173,55
15480,66,113,168,51
15481,69,134,176,61
15482,67,117,171,53
15483,69,121,174,55
15484,70,120,177,54
15485,69,127,174,58
15486,69,131,175,60
15487,68,106,173,48
15488,72,120,182,54
15489,67,128,171,58
15490,69,124,175,56
15491,72,159,183,72
15492,65,134,165,61
15493,67,135,169,61
15494,69,132,174,60
15495,68,125,174,57
15496,64,116,163,52
15497,66,130,168,59
15498,64,121,163,55
15499,68,134,173,61
15500,69,134,176,61
15501,69,119,176,54
15502,73,154,186,70
15503,69,117,176,53
15504,70,146,179,66
15505,66,128,167,58
15506,67,121,169,55
15507,67,136,170,62
15508,65,132,166,60
15509,66,132,168,60
15510,66,111,168,51
15511,70,115,177,52
15512,65,132,165,60
15513,66,117,168,53
15514,68,147,173,67
15515,68,139,174,63
15516,65,113,164,51
15517,67,120,170,55
15518,68,120,173,54
15519,65,130,164,59
15520,66,123,167,56
15521,70,135,177,61
15522,67,116,171,53
15523,73,154,185,70
15524,70,129,178,59
15525,67,109,171,49
15526,69,122,175,55
15527,69,131,175,59
15528,71,108,180,49
15529,69,111,176,50
15530,68,140,174,63
15531,66,108,167,49
15532,68,138,172,63
15533,69,120,175,54
15534,65,131,165,59
15535,65,112,165,51
15536,70,113,177,51
15537,68,94,174,42
15538,68,135,172,61
15539,68,130,174,59
15540,69,137,175,62
15541,66,117,168,53
15542,70,127,177,58
15543,68,119,173,54
15544,72,147,182,67
15545,68,152,172,69
15546,69,127,176,58
15547,64,102,163,46
15548,70,129,178,59
15549,68,121,173,55
15550,69,116,176,53
15551,66,115,167,52
15552,66,117,169,53
15553,67,116,170,53
15554,67,133,171,60
15555,68,123,174,56
15556,67,123,170,56
15557,69,126,176,57
15558,67,137,171,62
15559,67,125,171,57
15560,70,130,178,59
15561,68,145,173,66
15562,67,132,169,60
15563,68,135,173,61
15564,65,126,166,57
15565,69,124,174,56
15566,68,134,172,61
15567,68,128,172,58
15568,68,130,172,59
15569,69,117,175,53
15570,67,116,170,53
15571,68,140,173,63
15572,67,117,171,53
15573,67,119,169,54
15574,67,127,171,58
15575,66,121,168,55
15576,67,133,171,61
15577,68,110,173,50
15578,70,128,177,58
15579,68,139,173,63
15580,66,141,167,64
15581,66,114,168,52
15582,68,102,172,46
15583,66,139,167,63
15584,70,127,179,58
15585,66,120,168,54
15586,66,127,167,58
15587,66,112,167,51
15588,69,141,174,64
15589,68,113,173,51
15590,68,137,172,62
15591,69,143,176,65
15592,71,133,179,61
15593,69,143,175,65
15594,70,155,177,70
15595,68,136,172,62
15596,66,120,168,55
15597,65,115,166,52
15598,72,128,182,58
15599,66,111,169,50
15600,66,123,169,56
15601,65,132,166,60
15602,69,145,176,66
15603,67,117,170,53
15604,67,117,170,53
15605,68,119,174,54
15606,68,116,172,53
15607,67,124,169,56
15608,71,131,181,59
15609,70,132,177,60
15610,67,124,170,56
15611,70,132,178,60
15612,67,125,171,57
15613,66,109,169,50
15614,70,128,179,58
15615,67,118,171,53
15616,67,116,171,52
15617,66,116,166,53
15618,69,131,174,60
15619,71,141,182,64
15620,67,152,170,69
15621,71,150,180,68
15622,65,123,164,56
15623,66,129,169,58
15624,72,129,183,59
15625,67,136,171,62
15626,67,123,171,56
15627,69,131,176,59
15628,67,118,170,54
15629,70,143,178,65
15630,68,123,173,56
15631,69,119,176,54
15632,69,120,175,54
15633,71,133,180,60
15634,63,117,160,53
15635,71,130,180,59
15636,70,141,178,64
15637,68,113,172,51
15638,70,130,179,59
15639,68,144,174,65
15640,69,147,176,67
15641,69,126,175,57
15642,69,128,176,58
15643,69,141,176,64
15644,67,115,171,52
15645,68,134,173,61
15646,68,128,171,58
15647,69,139,175,63
15648,67,134,171,61
15649,67,117,170,53
15650,67,122,171,55
15651,66,116,168,53
15652,66,117,167,53
15653,66,116,168,52
15654,65,117,165,53
15655,68,126,174,57
15656,67,131,169,59
15657,71,121,180,55
15658,71,135,180,61
15659,72,136,182,62
15660,66,113,167,51
15661,68,142,172,64
15662,69,136,176,61
15663,69,139,176,63
15664,67,134,171,61
15665,68,123,173,56
15666,68,129,172,59
15667,64,115,163,52
15668,69,136,174,61
15669,66,131,167,59
15670,66,113,167,51
15671,69,138,174,62
15672,66,125,168,57
15673,63,104,161,47
15674,65,116,164,52
15675,64,114,163,52
15676,64,123,163,56
15677,68,137,172,62
15678,67,119,169,54
15679,68,130,174,59
15680,71,115,179,52
15681,68,113,173,51
15682,68,115,173,52
15683,66,119,168,54
15684,69,138,176,63
15685,68,131,174,59
15686,68,122,173,55
15687,68,132,172,60
15688,66,112,167,51
15689,69,146,176,66
15690,70,127,178,58
15691,69,117,175,53
15692,71,126,181,57
15693,71,117,179,53
15694,69,126,176,57
15695,68,133,173,60
15696,68,130,172,59
15697,66,131,167,59
15698,67,143,171,65
15699,68,120,173,55
15700,68,130,172,59
15701,63,139,161,63
15702,67,114,171,52
15703,66,136,169,61
15704,67,124,169,56
15705,68,131,174,59
15706,71,144,181,65
15707,68,105,173,48
15708,68,129,174,59
15709,68,110,172,50
15710,69,135,175,61
15711,67,119,170,54
15712,73,147,186,67
15713,67,116,169,53
15714,67,122,171,56
15715,70,147,177,67
15716,71,151,181,68
15717,67,128,171,58
15718,67,129,170,59
15719,68,134,173,61
15720,67,124,170,56
15721,65,146,164,66
15722,68,109,173,50
15723,69,150,176,68
15724,69,137,175,62
15725,69,136,175,62
15726,68,132,173,60
15727,70,110,179,50
15728,65,108,166,49
15729,69,124,176,56
15730,66,130,167,59
15731,64,130,162,59
15732,66,128,168,58
15733,64,115,164,52
15734,67,112,171,51
15735,67,130,171,59
15736,65,103,166,47
15737,70,130,179,59
15738,70,138,178,63
15739,68,133,173,60
15740,67,116,170,53
15741,69,109,174,49
15742,68,127,173,58
15743,70,138,177,62
15744,66,122,168,55
15745,68,130,172,59
15746,69,124,174,56
15747,66,121,167,55
15748,70,140,178,63
15749,67,133,170,60
15750,70,136,178,62
15751,65,137,166,62
15752,68,134,172,61
15753,68,131,172,60
15754,64,118,163,53
15755,73,121,186,55
15756,67,149,171,67
15757,69,143,176,65
15758,68,114,171,52
15759,68,127,173,57
15760,71,139,180,63
15761,66,128,168,58
15762,67,117,170,53
15763,68,109,173,49
15764,68,141,174,64
15765,69,127,175,57
15766,69,141,176,64
15767,67,115,170,52
15768,67,145,171,66
15769,70,146,177,66
15770,67,117,171,53
15771,68,129,172,58
15772,70,132,178,60
15773,66,133,167,60
15774,66,120,167,54
15775,70,141,179,64
15776,68,118,172,53
15777,71,134,181,61
15778,68,130,173,59
15779,68,109,172,50
15780,66,129,167,59
15781,71,136,180,62
15782,69,131,175,59
15783,68,124,173,56
15784,69,143,175,65
15785,65,100,166,46
15786,66,136,167,62
15787,69,121,176,55
15788,69,135,176,61
15789,70,129,177,59
15790,69,124,176,56
15791,64,112,162,51
15792,67,116,170,53
15793,67,130,169,59
15794,67,116,171,53
15795,67,111,170,50
15796,69,136,176,62
15797,70,133,177,60
15798,69,129,176,59
15799,71,131,180,60
15800,67,130,169,59
15801,65,133,166,60
15802,69,121,175,55
15803,68,124,172,56
15804,69,137,176,62
15805,70,138,179,63
15806,68,129,173,58
15807,69,115,175,52
15808,67,135,170,61
15809,66,132,168,60
15810,66,150,168,68
15811,68,121,173,55
15812,71,144,180,65
15813,68,113,173,51
15814,69,145,176,66
15815,69,129,176,59
15816,65,114,165,52
15817,68,117,172,53
15818,69,130,175,59
15819,71,145,179,66
15820,66,110,168,50
15821,64,110,164,50
15822,69,131,176,59
15823,66,144,168,65
15824,67,112,170,51
15825,69,129,175,58
15826,69,134,175,61
15827,71,143,181,65
15828,69,140,174,64
15829,62,125,158,57
15830,66,121,168,55
15831,68,134,173,61
15832,68,128,174,58
15833,70,131,177,60
15834,67,110,171,50
15835,66,121,168,55
15836,68,146,172,66
15837,68,132,172,60
15838,68,133,173,60
15839,67,107,169,49
15840,67,128,169,58
15841,63,127,160,58
15842,68,141,172,64
15843,70,143,178,65
15844,64,105,164,48
15845,71,138,181,63
15846,68,132,172,60
15847,67,124,170,56
15848,67,121,170,55
15849,66,107,168,49
15850,68,119,173,54
15851,68,125,173,57
15852,68,129,173,59
15853,65,134,166,61
15854,67,134,170,61
15855,69,128,175,58
15856,68,122,173,55
15857,72,132,184,60
15858,68,110,173,50
15859,66,113,168,51
15860,69,125,176,57
15861,66,135,168,61
15862,66,119,169,54
15863,68,113,172,51
15864,69,131,174,60
15865,68,124,173,56
15866,69,137,175,62
15867,71,129,181,59
15868,70,119,179,54
15869,70,134,179,61
15870,71,149,180,68
15871,67,137,170,62
15872,65,112,164,51
15873,68,127,173,58
15874,67,111,171,50
15875,69,131,175,59
15876,69,126,174,57
15877,71,129,179,59
15878,69,132,176,60
15879,69,143,175,65
15880,68,130,174,59
15881,67,113,169,51
15882,66,126,168,57
15883,68,137,172,62
15884,67,116,169,52
15885,69,122,174,55
15886,68,136,173,62
15887,71,145,181,66
15888,66,113,167,51
15889,69,121,175,55
15890,66,121,168,55
15891,68,141,173,64
15892,69,138,175,62
15893,70,137,177,62
15894,68,122,173,55
15895,68,110,172,50
15896,69,136,175,62
15897,67,125,171,57
15898,68,115,172,52
15899,69,138,176,63
15900,70,135,177,61
15901,70,118,178,54
15902,68,134,173,61
15903,70,130,177,59
15904,66,123,168,56
15905,69,109,175,49
15906,67,128,169,58
15907,70,147,178,67
15908,70,136,177,62
15909,67,119,171,54
15910,71,137,179,62
15911,66,119,169,54
15912,67,127,171,58
15913,69,122,175,55
15914,65,119,166,54
15915,67,126,171,57
15916,68,114,174,52
15917,67,131,171,59
15918,66,97,167,44
15919,69,129,175,58
15920,67,124,169,56
15921,67,120,171,54
15922,67,141,170,64
15923,65,104,165,47
15924,68,139,173,63
15925,68,146,172,66
15926,68,128,174,58
15927,68,118,174,54
15928,69,136,175,62
15929,68,116,172,53
15930,65,127,164,58
15931,65,107,166,49
15932,68,135,173,61
15933,67,138,171,62
15934,68,124,172,56
15935,65,129,165,58
15936,71,130,181,59
15937,67,108,169,49
15938,68,123,174,56
15939,69,130,176,59
15940,67,127,170,57
15941,67,127,171,57
15942,67,127,170,58
15943,66,136,167,62
15944,70,145,178,66
15945,66,118,167,54
15946,70,126,178,57
15947,67,125,170,57
15948,70,140,179,64
15949,70,133,178,60
15950,66,126,167,57
15951,70,135,177,61
15952,66,108,167,49
15953,71,130,180,59
15954,69,131,176,60
15955,67,130,169,59
15956,68,140,172,63
15957,69,139,175,63
15958,71,147,181,67
15959,68,135,172,61
15960,69,123,176,56
15961,71,148,181,67
15962,70,116,177,53
15963,67,104,170,47
15964,70,138,177,62
15965,68,139,172,63
15966,69,135,176,61
15967,74,150,189,68
15968,69,136,176,61
15969,66,117,168,53
15970,68,124,173,56
15971,71,156,180,71
15972,65,111,166,50
15973,64,123,162,56
15974,72,146,182,66
15975,68,142,173,64
15976,68,133,172,60
15977,66,144,167,65
15978,64,107,163,49
15979,70,137,177,62
15980,73,140,186,64
15981,65,121,165,55
15982,68,122,172,56
15983,69,124,175,56
15984,66,117,169,53
15985,68,125,174,57
15986,66,133,168,60
15987,66,116,168,53
15988,67,137,171,62
15989,66,124,167,56
15990,67,110,170,50
15991,65,105,165,48
15992,68,131,173,60
15993,66,120,168,54
15994,69,120,176,55
15995,66,124,167,56
15996,65,116,166,53
15997,68,117,174,53
15998,67,114,169,52
15999,68,114,172,52
16000,68,115,174,52
16001,68,147,173,67
16002,68,115,174,52
16003,68,121,172,55
16004,66,136,168,62
16005,69,129,175,58
16006,70,130,177,59
16007,71,131,180,60
16008,70,128,177,58
16009,67,113,170,51
16010,68,114,172,52
16011,68,117,173,53
16012,66,119,168,54
16013,70,131,178,59
16014,70,128,177,58
16015,71,154,179,70
16016,66,115,169,52
16017,66,118,167,54
16018,69,133,176,61
16019,67,126,171,57
16020,68,133,172,60
16021,71,131,180,59
16022,68,111,173,51
16023,69,145,176,66
16024,69,127,176,58
16025,70,131,177,59
16026,69,141,176,64
16027,68,130,172,59
16028,66,129,167,58
16029,67,124,169,56
16030,66,134,167,61
16031,66,129,167,58
16032,68,119,173,54
16033,68,102,174,46
16034,68,123,173,56
